Отправление,Прибытие,Тип простоя,Модель вагона,День отправления (от начала расчета),День прибытия (от начала расчета),Количество,Цена порожнего пробега (за вагон),Код следующего заказa,Расчитанный тариф следующего заказа
652706,652602,P,2070,0,5.0,1,241,303467_815491147008_0710,-
10002,10303,P,2070,0,5.0,1,355,305165_819048680509_0710,-
10002,10303,P,2071,0,5.0,1,355,305165_819048680509_0710,-
10002,10303,P,2062,0,5.0,1,355,305165_819048680509_0710,-
10002,10303,P,2155,0,5.0,1,355,305165_819048680509_0710,-
10002,10303,P,2070,0,5.0,1,355,305165_819048680509_0710,-
644004,644708,P,2155,0,5.0,1,213,303953_816495253508_0711,-
644803,644708,P,2070,0,5.0,1,371,303953_816495253508_0711,-
644803,644708,P,2155,0,5.0,1,371,303953_816495253508_0711,-
659006,657907,P,2070,0,5.0,1,2764,303955_816499644803_0711,-
637104,657907,P,2070,0,5.0,1,3210,303955_816499644803_0711,-
638003,657907,P,2070,0,5.0,1,519,303955_816499644803_0711,-
800101,800008,P,2052,0,5.0,1,241,303977_816575828501_0711,-
801208,800008,P,2043,0,5.0,1,816,303977_816575828501_0711,-
800205,800008,P,2052,0,5.0,1,56,303977_816575828501_0711,-
801405,800008,P,2052,0,5.0,1,241,303977_816575828501_0711,-
194901,192605,P,2154,0,5.0,1,3210,307939_829240618207_0711,-
233608,192605,P,2070,0,5.0,1,1892,307939_829240618207_0711,-
233608,192605,P,2070,0,5.0,1,1892,307939_829240618207_0711,-
310607,310109,P,2043,0,5.0,1,371,304677_817988284101_0711,-
581106,439305,P,2164,0,5.0,1,1084,303450_815444625107_0711,-
438302,439305,P,2164,0,5.0,1,1203,303450_815444625107_0711,-
438302,439305,P,2164,0,5.0,1,1203,303450_815444625107_0711,-
21609,20502,P,2146,0,5.0,1,1478,303911_816383245709_0711,-
28504,20502,P,2070,0,5.0,1,1140,303911_816383245709_0711,-
21609,20502,P,2146,0,5.0,1,1478,303911_816384192906_0711,-
28504,20502,P,2070,0,5.0,1,1140,303911_816384192906_0711,-
648908,648202,P,2070,0,5.0,1,797,304767_818173036905_0711,-
648908,648202,P,2061,0,5.0,1,797,304767_818173036905_0711,-
648908,648202,P,2070,0,5.0,1,797,304767_818173036905_0711,-
648908,648202,P,2070,0,5.0,1,797,304767_818173036905_0711,-
210108,190205,P,2070,0,5.0,1,1583,307630_827613792102_0711,-
611509,612107,P,2158,0,5.0,1,1113,303520_815583669209_0711,-
610205,612107,P,2068,0,5.0,1,1596,303520_815583669209_0711,-
610205,612107,P,2164,0,5.0,1,1596,303520_815583669209_0711,-
614704,612107,P,2158,0,5.0,1,2486,303520_815583669209_0711,-
657705,659006,P,2052,0,5.0,1,2486,302628_821524690200_0711,-
657705,659006,P,2050,0,5.0,1,2486,302628_821524690200_0711,-
657705,659006,P,2155,0,5.0,1,2486,302628_821524690200_0711,-
638003,659006,P,2052,0,5.0,1,2486,302628_821524690200_0711,-
233608,192107,P,2070,0,5.0,1,2189,304724_829827289904_0711,-
233608,192107,P,2070,0,5.0,1,2189,304724_829827289904_0711,-
225902,191804,P,2052,0,5.0,1,2293,308198_830150289904_0711,-
225902,191804,P,2070,0,5.0,1,2293,308198_830150289904_0711,-
233608,191804,P,2070,0,5.0,1,2486,308198_830150289904_0711,-
233608,191804,P,2070,0,5.0,1,2486,308198_830150289904_0711,-
610703,612003,P,2070,0,5.0,1,1596,302677_813923799309_0711,-
610703,612003,P,2070,0,5.0,1,1596,302677_813923799309_0711,-
610703,612003,P,2070,0,5.0,1,1596,302677_813923799309_0711,-
