Код заказа,Станция старта,Станция финиша,Расчетная дата старта,Плановая дата старта,Время в пути,Мин допустимый объем,Запрошенный объем,Тарифы,Запрошенный тип вагона,Приоритет,Примененный тариф
302201_812941937003_0707,932103,937003,0,0,13,3,3,53514,2039,4,53514
303139_830582944702_0707,946801,944702,0,0,13,3,3,8550,2025,4,8550
303933_830578944702_0707,946801,944702,0,0,13,3,3,8550,2025,4,8550
305170_830580944702_0707,946801,944702,0,0,13,3,3,8550,2025,4,8550
303071_814704942105_0707,946801,942105,0,0,14,2,2,25768,2011,4,25768
303462_830575942105_0707,946801,942105,0,0,14,2,2,25768,2011,4,25768
303462_830576942105_0707,946801,942105,0,0,14,2,2,25768,2011,4,25768
303964_830572942105_0707,946801,942105,1,1,14,3,3,25768,2011,4,25768
304783_818227942105_0707,946801,942105,1,1,14,2,2,10395,2011,4,10395
307783_828550852106_0707,843200,852106,1,1,15,2,2,12960,2004,4,12960
302267_813062942105_0707,946801,942105,1,1,17,2,2,25768,2011,4,25768
303111_830571942105_0707,946801,942105,1,1,17,2,2,25768,2011,4,25768
307579_827375935703_0707,888004,935703,1,1,17,2,2,43109,2038,4,43109
302671_813905801301_0707,191509,801301,1,1,19,2,2,28922,2002,3,28922
302201_812940950008_0707,932103,950008,1,1,20,2,2,49858,2039,4,49858
302578_830448885805_0707,946801,885805,1,1,20,2,2,9851,2011,4,9851
302578_830449885805_0707,946801,885805,1,1,20,2,2,9851,2011,4,9851
308302_830603531304_0707,520901,531304,1,1,20,5,5,21739,2010,4,21739
302579_813711840109_0707,946801,840109,1,1,21,2,2,50396,2025,4,50396
308270_830483932809_0707,946801,931401,1,1,23,2,2,24761,2011,4,24761
303503_815556933801_0707,840109,931401,1,1,25,5,5,25564,2031,4,25564
302258_813045318401_0707,946801,318401,1,1,28,2,2,29160,2011,4,29160
303503_815556933801_0708,840109,931401,1,1,25,2,2,25564,2031,4,25564
303503_815558890907_0708,840109,888004,1,1,25,2,2,12646,2031,4,12646
304408_817421592204_0707,946801,592204,2,2,28,2,2,29160,2011,4,29160
304408_817422226407_0707,946801,226407,2,2,28,2,2,29160,2011,4,29160
305188_819114318401_0707,946801,318609,2,2,34,2,2,29160,2011,4,29160
303540_815626722203_0707,926403,722203,2,2,35,3,3,75530,2354,4,75530
303139_830582944702_0708,946801,944702,2,2,13,3,3,8550,2025,4,8550
303872_823268944702_0708,946801,944702,2,2,13,4,4,8550,2011,4,8550
303933_830578944702_0708,946801,944702,2,2,13,4,4,8550,2025,4,8550
305170_830580944702_0708,946801,944702,2,2,13,4,4,8550,2025,4,8550
302662_813890942105_0708,946801,942105,2,2,14,4,4,10395,2025,4,10395
303462_830575942105_0708,946801,942105,2,2,14,2,2,25768,2011,4,25768
303462_830576942105_0708,946801,942105,2,2,14,2,2,25768,2011,4,25768
304337_828864949509_0708,946801,949509,2,2,14,2,2,6300,2011,4,6300
304783_818227942105_0708,946801,942105,2,2,14,2,2,10395,2011,4,10395
303083_814726610703_0708,652602,610703,2,2,16,2,2,27554,2003,4,27554
303111_830571942105_0708,946801,942105,2,2,17,2,2,25768,2011,4,25768
303524_825559684001_0708,761602,684001,2,2,17,2,2,30171,2087,4,30171
304395_817402581106_0708,32406,581106,2,2,17,2,2,54611,2001,4,54611
304746_818134770300_0708,205307,770300,2,2,18,3,3,39520,2030,4,39520
304767_818173036905_0708,648202,36905,2,2,18,2,2,47313,2003,4,47313
301659_811179194507_0708,102901,194507,2,2,19,3,3,47449,2004,4,47449
302671_813905801301_0708,191509,801301,2,2,19,2,2,28922,2002,3,28922
304395_817397778406_0708,32406,778406,2,2,20,2,2,26519,2001,4,26519
308302_830603531304_0708,520901,531304,2,2,20,5,5,21739,2010,4,21739
302579_813711840109_0708,946801,840109,2,2,21,2,2,50396,2025,4,50396
303128_814821893708_0709,891806,893708,2,2,13,4,4,15241,2003,4,15241
303462_830576942105_0709,946801,942105,2,2,14,4,4,25768,2011,4,25768
303964_830572942105_0709,946801,942105,2,2,14,2,2,25768,2011,4,25768
304337_828863949509_0709,946801,949509,2,2,14,3,3,6300,2011,4,6300
